traceid,label,activity,anomaly_type,anomaly_details
7,anomaly,START,activity_switching,"{'index1': 8, 'index2': 1, 'activity1': 'R', 'activity2': 'F'}"
7,anomaly,R,activity_switching,"{'index1': 8, 'index2': 1, 'activity1': 'R', 'activity2': 'F'}"
7,anomaly,L,activity_switching,"{'index1': 8, 'index2': 1, 'activity1': 'R', 'activity2': 'F'}"
7,anomaly,M,activity_switching,"{'index1': 8, 'index2': 1, 'activity1': 'R', 'activity2': 'F'}"
7,anomaly,Q,activity_switching,"{'index1': 8, 'index2': 1, 'activity1': 'R', 'activity2': 'F'}"
7,anomaly,P,activity_switching,"{'index1': 8, 'index2': 1, 'activity1': 'R', 'activity2': 'F'}"
7,anomaly,N,activity_switching,"{'index1': 8, 'index2': 1, 'activity1': 'R', 'activity2': 'F'}"
7,anomaly,O,activity_switching,"{'index1': 8, 'index2': 1, 'activity1': 'R', 'activity2': 'F'}"
7,anomaly,F,activity_switching,"{'index1': 8, 'index2': 1, 'activity1': 'R', 'activity2': 'F'}"
7,anomaly,S,activity_switching,"{'index1': 8, 'index2': 1, 'activity1': 'R', 'activity2': 'F'}"
7,anomaly,T,activity_switching,"{'index1': 8, 'index2': 1, 'activity1': 'R', 'activity2': 'F'}"
7,anomaly,U,activity_switching,"{'index1': 8, 'index2': 1, 'activity1': 'R', 'activity2': 'F'}"
7,anomaly,END,activity_switching,"{'index1': 8, 'index2': 1, 'activity1': 'R', 'activity2': 'F'}"
8,normal,START,,
8,normal,F,,
8,normal,G,,
8,normal,M,,
8,normal,N,,
8,normal,O,,
8,normal,P,,
8,normal,Q,,
8,normal,R,,
8,normal,S,,
8,normal,T,,
8,normal,U,,
8,normal,END,,
9,anomaly,START,activity_switching,"{'index1': 3, 'index2': 2, 'activity1': 'K', 'activity2': 'J'}"
9,anomaly,F,activity_switching,"{'index1': 3, 'index2': 2, 'activity1': 'K', 'activity2': 'J'}"
9,anomaly,K,activity_switching,"{'index1': 3, 'index2': 2, 'activity1': 'K', 'activity2': 'J'}"
9,anomaly,J,activity_switching,"{'index1': 3, 'index2': 2, 'activity1': 'K', 'activity2': 'J'}"
9,anomaly,M,activity_switching,"{'index1': 3, 'index2': 2, 'activity1': 'K', 'activity2': 'J'}"
9,anomaly,N,activity_switching,"{'index1': 3, 'index2': 2, 'activity1': 'K', 'activity2': 'J'}"
9,anomaly,Q,activity_switching,"{'index1': 3, 'index2': 2, 'activity1': 'K', 'activity2': 'J'}"
9,anomaly,P,activity_switching,"{'index1': 3, 'index2': 2, 'activity1': 'K', 'activity2': 'J'}"
9,anomaly,O,activity_switching,"{'index1': 3, 'index2': 2, 'activity1': 'K', 'activity2': 'J'}"
9,anomaly,R,activity_switching,"{'index1': 3, 'index2': 2, 'activity1': 'K', 'activity2': 'J'}"
9,anomaly,S,activity_switching,"{'index1': 3, 'index2': 2, 'activity1': 'K', 'activity2': 'J'}"
9,anomaly,T,activity_switching,"{'index1': 3, 'index2': 2, 'activity1': 'K', 'activity2': 'J'}"
9,anomaly,U,activity_switching,"{'index1': 3, 'index2': 2, 'activity1': 'K', 'activity2': 'J'}"
9,anomaly,END,activity_switching,"{'index1': 3, 'index2': 2, 'activity1': 'K', 'activity2': 'J'}"
10,anomaly,START,activity_switching,"{'index1': 11, 'index2': 9, 'activity1': 'U', 'activity2': 'S'}"
10,anomaly,F,activity_switching,"{'index1': 11, 'index2': 9, 'activity1': 'U', 'activity2': 'S'}"
10,anomaly,G,activity_switching,"{'index1': 11, 'index2': 9, 'activity1': 'U', 'activity2': 'S'}"
10,anomaly,M,activity_switching,"{'index1': 11, 'index2': 9, 'activity1': 'U', 'activity2': 'S'}"
10,anomaly,Q,activity_switching,"{'index1': 11, 'index2': 9, 'activity1': 'U', 'activity2': 'S'}"
10,anomaly,O,activity_switching,"{'index1': 11, 'index2': 9, 'activity1': 'U', 'activity2': 'S'}"
10,anomaly,N,activity_switching,"{'index1': 11, 'index2': 9, 'activity1': 'U', 'activity2': 'S'}"
10,anomaly,P,activity_switching,"{'index1': 11, 'index2': 9, 'activity1': 'U', 'activity2': 'S'}"
10,anomaly,R,activity_switching,"{'index1': 11, 'index2': 9, 'activity1': 'U', 'activity2': 'S'}"
10,anomaly,U,activity_switching,"{'index1': 11, 'index2': 9, 'activity1': 'U', 'activity2': 'S'}"
10,anomaly,T,activity_switching,"{'index1': 11, 'index2': 9, 'activity1': 'U', 'activity2': 'S'}"
10,anomaly,S,activity_switching,"{'index1': 11, 'index2': 9, 'activity1': 'U', 'activity2': 'S'}"
10,anomaly,END,activity_switching,"{'index1': 11, 'index2': 9, 'activity1': 'U', 'activity2': 'S'}"
11,anomaly,START,activity_switching,"{'index1': 7, 'index2': 10, 'activity1': 'P', 'activity2': 'T'}"
11,anomaly,F,activity_switching,"{'index1': 7, 'index2': 10, 'activity1': 'P', 'activity2': 'T'}"
11,anomaly,L,activity_switching,"{'index1': 7, 'index2': 10, 'activity1': 'P', 'activity2': 'T'}"
11,anomaly,M,activity_switching,"{'index1': 7, 'index2': 10, 'activity1': 'P', 'activity2': 'T'}"
11,anomaly,O,activity_switching,"{'index1': 7, 'index2': 10, 'activity1': 'P', 'activity2': 'T'}"
11,anomaly,N,activity_switching,"{'index1': 7, 'index2': 10, 'activity1': 'P', 'activity2': 'T'}"
11,anomaly,Q,activity_switching,"{'index1': 7, 'index2': 10, 'activity1': 'P', 'activity2': 'T'}"
11,anomaly,T,activity_switching,"{'index1': 7, 'index2': 10, 'activity1': 'P', 'activity2': 'T'}"
11,anomaly,R,activity_switching,"{'index1': 7, 'index2': 10, 'activity1': 'P', 'activity2': 'T'}"
11,anomaly,S,activity_switching,"{'index1': 7, 'index2': 10, 'activity1': 'P', 'activity2': 'T'}"
11,anomaly,P,activity_switching,"{'index1': 7, 'index2': 10, 'activity1': 'P', 'activity2': 'T'}"
11,anomaly,U,activity_switching,"{'index1': 7, 'index2': 10, 'activity1': 'P', 'activity2': 'T'}"
11,anomaly,END,activity_switching,"{'index1': 7, 'index2': 10, 'activity1': 'P', 'activity2': 'T'}"
12,anomaly,START,activity_switching,"{'index1': 7, 'index2': 10, 'activity1': 'N', 'activity2': 'T'}"
12,anomaly,F,activity_switching,"{'index1': 7, 'index2': 10, 'activity1': 'N', 'activity2': 'T'}"
12,anomaly,L,activity_switching,"{'index1': 7, 'index2': 10, 'activity1': 'N', 'activity2': 'T'}"
12,anomaly,M,activity_switching,"{'index1': 7, 'index2': 10, 'activity1': 'N', 'activity2': 'T'}"
12,anomaly,P,activity_switching,"{'index1': 7, 'index2': 10, 'activity1': 'N', 'activity2': 'T'}"
12,anomaly,Q,activity_switching,"{'index1': 7, 'index2': 10, 'activity1': 'N', 'activity2': 'T'}"
12,anomaly,O,activity_switching,"{'index1': 7, 'index2': 10, 'activity1': 'N', 'activity2': 'T'}"
12,anomaly,T,activity_switching,"{'index1': 7, 'index2': 10, 'activity1': 'N', 'activity2': 'T'}"
12,anomaly,R,activity_switching,"{'index1': 7, 'index2': 10, 'activity1': 'N', 'activity2': 'T'}"
12,anomaly,S,activity_switching,"{'index1': 7, 'index2': 10, 'activity1': 'N', 'activity2': 'T'}"
12,anomaly,N,activity_switching,"{'index1': 7, 'index2': 10, 'activity1': 'N', 'activity2': 'T'}"
12,anomaly,U,activity_switching,"{'index1': 7, 'index2': 10, 'activity1': 'N', 'activity2': 'T'}"
12,anomaly,END,activity_switching,"{'index1': 7, 'index2': 10, 'activity1': 'N', 'activity2': 'T'}"
13,normal,START,,
13,normal,F,,
13,normal,J,,
13,normal,K,,
13,normal,M,,
13,normal,O,,
13,normal,Q,,
13,normal,P,,
13,normal,N,,
13,normal,R,,
13,normal,S,,
13,normal,T,,
13,normal,U,,
13,normal,END,,
14,normal,START,,
14,normal,F,,
14,normal,J,,
14,normal,K,,
14,normal,M,,
14,normal,O,,
14,normal,N,,
14,normal,Q,,
14,normal,P,,
14,normal,R,,
14,normal,S,,
14,normal,T,,
14,normal,U,,
14,normal,END,,
15,normal,START,,
15,normal,F,,
15,normal,J,,
15,normal,K,,
15,normal,M,,
15,normal,N,,
15,normal,Q,,
15,normal,P,,
15,normal,O,,
15,normal,R,,
15,normal,S,,
15,normal,T,,
15,normal,S,,
15,normal,T,,
15,normal,U,,
15,normal,END,,
16,anomaly,START,activity_switching,"{'index1': 3, 'index2': 6, 'activity1': 'M', 'activity2': 'O'}"
16,anomaly,F,activity_switching,"{'index1': 3, 'index2': 6, 'activity1': 'M', 'activity2': 'O'}"
16,anomaly,L,activity_switching,"{'index1': 3, 'index2': 6, 'activity1': 'M', 'activity2': 'O'}"
16,anomaly,O,activity_switching,"{'index1': 3, 'index2': 6, 'activity1': 'M', 'activity2': 'O'}"
16,anomaly,N,activity_switching,"{'index1': 3, 'index2': 6, 'activity1': 'M', 'activity2': 'O'}"
16,anomaly,P,activity_switching,"{'index1': 3, 'index2': 6, 'activity1': 'M', 'activity2': 'O'}"
16,anomaly,M,activity_switching,"{'index1': 3, 'index2': 6, 'activity1': 'M', 'activity2': 'O'}"
16,anomaly,Q,activity_switching,"{'index1': 3, 'index2': 6, 'activity1': 'M', 'activity2': 'O'}"
16,anomaly,R,activity_switching,"{'index1': 3, 'index2': 6, 'activity1': 'M', 'activity2': 'O'}"
16,anomaly,S,activity_switching,"{'index1': 3, 'index2': 6, 'activity1': 'M', 'activity2': 'O'}"
16,anomaly,T,activity_switching,"{'index1': 3, 'index2': 6, 'activity1': 'M', 'activity2': 'O'}"
16,anomaly,U,activity_switching,"{'index1': 3, 'index2': 6, 'activity1': 'M', 'activity2': 'O'}"
16,anomaly,END,activity_switching,"{'index1': 3, 'index2': 6, 'activity1': 'M', 'activity2': 'O'}"
17,normal,START,,
17,normal,F,,
17,normal,J,,
17,normal,K,,
17,normal,M,,
17,normal,O,,
17,normal,P,,
17,normal,Q,,
17,normal,N,,
17,normal,R,,
17,normal,S,,
17,normal,T,,
17,normal,U,,
17,normal,END,,
18,anomaly,START,activity_switching,"{'index1': 2, 'index2': 14, 'activity1': 'G', 'activity2': 'T'}"
18,anomaly,F,activity_switching,"{'index1': 2, 'index2': 14, 'activity1': 'G', 'activity2': 'T'}"
18,anomaly,T,activity_switching,"{'index1': 2, 'index2': 14, 'activity1': 'G', 'activity2': 'T'}"
18,anomaly,H,activity_switching,"{'index1': 2, 'index2': 14, 'activity1': 'G', 'activity2': 'T'}"
18,anomaly,I,activity_switching,"{'index1': 2, 'index2': 14, 'activity1': 'G', 'activity2': 'T'}"
18,anomaly,M,activity_switching,"{'index1': 2, 'index2': 14, 'activity1': 'G', 'activity2': 'T'}"
18,anomaly,O,activity_switching,"{'index1': 2, 'index2': 14, 'activity1': 'G', 'activity2': 'T'}"
18,anomaly,P,activity_switching,"{'index1': 2, 'index2': 14, 'activity1': 'G', 'activity2': 'T'}"
18,anomaly,Q,activity_switching,"{'index1': 2, 'index2': 14, 'activity1': 'G', 'activity2': 'T'}"
18,anomaly,N,activity_switching,"{'index1': 2, 'index2': 14, 'activity1': 'G', 'activity2': 'T'}"
18,anomaly,R,activity_switching,"{'index1': 2, 'index2': 14, 'activity1': 'G', 'activity2': 'T'}"
18,anomaly,S,activity_switching,"{'index1': 2, 'index2': 14, 'activity1': 'G', 'activity2': 'T'}"
18,anomaly,T,activity_switching,"{'index1': 2, 'index2': 14, 'activity1': 'G', 'activity2': 'T'}"
18,anomaly,S,activity_switching,"{'index1': 2, 'index2': 14, 'activity1': 'G', 'activity2': 'T'}"
18,anomaly,G,activity_switching,"{'index1': 2, 'index2': 14, 'activity1': 'G', 'activity2': 'T'}"
18,anomaly,U,activity_switching,"{'index1': 2, 'index2': 14, 'activity1': 'G', 'activity2': 'T'}"
18,anomaly,END,activity_switching,"{'index1': 2, 'index2': 14, 'activity1': 'G', 'activity2': 'T'}"
19,normal,START,,
19,normal,F,,
19,normal,G,,
19,normal,H,,
19,normal,I,,
19,normal,M,,
19,normal,O,,
19,normal,P,,
19,normal,N,,
19,normal,Q,,
19,normal,R,,
19,normal,S,,
19,normal,T,,
19,normal,U,,
19,normal,END,,
20,normal,START,,
20,normal,F,,
20,normal,L,,
20,normal,M,,
20,normal,P,,
20,normal,Q,,
20,normal,N,,
20,normal,O,,
20,normal,R,,
20,normal,S,,
20,normal,T,,
20,normal,U,,
20,normal,END,,
21,normal,START,,
21,normal,F,,
21,normal,J,,
21,normal,K,,
21,normal,M,,
21,normal,O,,
21,normal,P,,
21,normal,Q,,
21,normal,N,,
21,normal,R,,
21,normal,S,,
21,normal,T,,
21,normal,U,,
21,normal,END,,
22,normal,START,,
22,normal,F,,
22,normal,G,,
22,normal,M,,
22,normal,O,,
22,normal,Q,,
22,normal,P,,
22,normal,N,,
22,normal,R,,
22,normal,S,,
22,normal,T,,
22,normal,U,,
22,normal,END,,
23,anomaly,START,activity_switching,"{'index1': 7, 'index2': 12, 'activity1': 'P', 'activity2': 'U'}"
23,anomaly,F,activity_switching,"{'index1': 7, 'index2': 12, 'activity1': 'P', 'activity2': 'U'}"
23,anomaly,J,activity_switching,"{'index1': 7, 'index2': 12, 'activity1': 'P', 'activity2': 'U'}"
23,anomaly,K,activity_switching,"{'index1': 7, 'index2': 12, 'activity1': 'P', 'activity2': 'U'}"
23,anomaly,M,activity_switching,"{'index1': 7, 'index2': 12, 'activity1': 'P', 'activity2': 'U'}"
23,anomaly,N,activity_switching,"{'index1': 7, 'index2': 12, 'activity1': 'P', 'activity2': 'U'}"
23,anomaly,O,activity_switching,"{'index1': 7, 'index2': 12, 'activity1': 'P', 'activity2': 'U'}"
23,anomaly,U,activity_switching,"{'index1': 7, 'index2': 12, 'activity1': 'P', 'activity2': 'U'}"
23,anomaly,Q,activity_switching,"{'index1': 7, 'index2': 12, 'activity1': 'P', 'activity2': 'U'}"
23,anomaly,R,activity_switching,"{'index1': 7, 'index2': 12, 'activity1': 'P', 'activity2': 'U'}"
23,anomaly,S,activity_switching,"{'index1': 7, 'index2': 12, 'activity1': 'P', 'activity2': 'U'}"
23,anomaly,T,activity_switching,"{'index1': 7, 'index2': 12, 'activity1': 'P', 'activity2': 'U'}"
23,anomaly,P,activity_switching,"{'index1': 7, 'index2': 12, 'activity1': 'P', 'activity2': 'U'}"
23,anomaly,END,activity_switching,"{'index1': 7, 'index2': 12, 'activity1': 'P', 'activity2': 'U'}"
24,normal,START,,
24,normal,F,,
24,normal,L,,
24,normal,M,,
24,normal,P,,
24,normal,O,,
24,normal,N,,
24,normal,Q,,
24,normal,R,,
24,normal,S,,
24,normal,T,,
24,normal,U,,
24,normal,END,,
25,normal,START,,
25,normal,F,,
25,normal,J,,
25,normal,K,,
25,normal,M,,
25,normal,O,,
25,normal,P,,
25,normal,N,,
25,normal,Q,,
25,normal,R,,
25,normal,S,,
25,normal,T,,
25,normal,U,,
25,normal,END,,
26,normal,START,,
26,normal,F,,
26,normal,J,,
26,normal,K,,
26,normal,M,,
26,normal,Q,,
26,normal,O,,
26,normal,P,,
26,normal,N,,
26,normal,R,,
26,normal,S,,
26,normal,T,,
26,normal,U,,
26,normal,END,,
27,normal,START,,
27,normal,F,,
27,normal,J,,
27,normal,K,,
27,normal,M,,
27,normal,O,,
27,normal,N,,
27,normal,P,,
27,normal,Q,,
27,normal,R,,
27,normal,S,,
27,normal,T,,
27,normal,U,,
27,normal,END,,
28,normal,START,,
28,normal,F,,
28,normal,J,,
28,normal,K,,
28,normal,M,,
28,normal,Q,,
28,normal,O,,
28,normal,P,,
28,normal,N,,
28,normal,R,,
28,normal,S,,
28,normal,T,,
28,normal,U,,
28,normal,END,,
29,anomaly,START,activity_switching,"{'index1': 10, 'index2': 1, 'activity1': 'T', 'activity2': 'F'}"
29,anomaly,T,activity_switching,"{'index1': 10, 'index2': 1, 'activity1': 'T', 'activity2': 'F'}"
29,anomaly,G,activity_switching,"{'index1': 10, 'index2': 1, 'activity1': 'T', 'activity2': 'F'}"
29,anomaly,M,activity_switching,"{'index1': 10, 'index2': 1, 'activity1': 'T', 'activity2': 'F'}"
29,anomaly,Q,activity_switching,"{'index1': 10, 'index2': 1, 'activity1': 'T', 'activity2': 'F'}"
29,anomaly,N,activity_switching,"{'index1': 10, 'index2': 1, 'activity1': 'T', 'activity2': 'F'}"
29,anomaly,P,activity_switching,"{'index1': 10, 'index2': 1, 'activity1': 'T', 'activity2': 'F'}"
29,anomaly,O,activity_switching,"{'index1': 10, 'index2': 1, 'activity1': 'T', 'activity2': 'F'}"
29,anomaly,R,activity_switching,"{'index1': 10, 'index2': 1, 'activity1': 'T', 'activity2': 'F'}"
29,anomaly,S,activity_switching,"{'index1': 10, 'index2': 1, 'activity1': 'T', 'activity2': 'F'}"
29,anomaly,F,activity_switching,"{'index1': 10, 'index2': 1, 'activity1': 'T', 'activity2': 'F'}"
29,anomaly,U,activity_switching,"{'index1': 10, 'index2': 1, 'activity1': 'T', 'activity2': 'F'}"
29,anomaly,END,activity_switching,"{'index1': 10, 'index2': 1, 'activity1': 'T', 'activity2': 'F'}"
30,normal,START,,
30,normal,F,,
30,normal,L,,
30,normal,M,,
30,normal,Q,,
30,normal,P,,
30,normal,N,,
30,normal,O,,
30,normal,R,,
30,normal,S,,
30,normal,T,,
30,normal,S,,
30,normal,T,,
30,normal,U,,
30,normal,END,,
31,normal,START,,
31,normal,F,,
31,normal,L,,
31,normal,M,,
31,normal,P,,
31,normal,Q,,
31,normal,N,,
31,normal,O,,
31,normal,R,,
31,normal,S,,
31,normal,T,,
31,normal,U,,
31,normal,END,,
32,normal,START,,
32,normal,F,,
32,normal,J,,
32,normal,K,,
32,normal,M,,
32,normal,P,,
32,normal,Q,,
32,normal,N,,
32,normal,O,,
32,normal,R,,
32,normal,S,,
32,normal,T,,
32,normal,U,,
32,normal,END,,
33,normal,START,,
33,normal,F,,
33,normal,G,,
33,normal,M,,
33,normal,P,,
33,normal,N,,
33,normal,O,,
33,normal,Q,,
33,normal,R,,
33,normal,S,,
33,normal,T,,
33,normal,U,,
33,normal,END,,
34,normal,START,,
34,normal,F,,
34,normal,L,,
34,normal,M,,
34,normal,Q,,
34,normal,O,,
34,normal,N,,
34,normal,P,,
34,normal,R,,
34,normal,S,,
34,normal,T,,
34,normal,U,,
34,normal,END,,
35,normal,START,,
35,normal,F,,
35,normal,G,,
35,normal,H,,
35,normal,I,,
35,normal,M,,
35,normal,O,,
35,normal,Q,,
35,normal,P,,
35,normal,N,,
35,normal,R,,
35,normal,S,,
35,normal,T,,
35,normal,S,,
35,normal,T,,
35,normal,U,,
35,normal,END,,
36,anomaly,START,activity_switching,"{'index1': 9, 'index2': 13, 'activity1': 'N', 'activity2': 'U'}"
36,anomaly,F,activity_switching,"{'index1': 9, 'index2': 13, 'activity1': 'N', 'activity2': 'U'}"
36,anomaly,G,activity_switching,"{'index1': 9, 'index2': 13, 'activity1': 'N', 'activity2': 'U'}"
36,anomaly,H,activity_switching,"{'index1': 9, 'index2': 13, 'activity1': 'N', 'activity2': 'U'}"
36,anomaly,I,activity_switching,"{'index1': 9, 'index2': 13, 'activity1': 'N', 'activity2': 'U'}"
36,anomaly,M,activity_switching,"{'index1': 9, 'index2': 13, 'activity1': 'N', 'activity2': 'U'}"
36,anomaly,O,activity_switching,"{'index1': 9, 'index2': 13, 'activity1': 'N', 'activity2': 'U'}"
36,anomaly,Q,activity_switching,"{'index1': 9, 'index2': 13, 'activity1': 'N', 'activity2': 'U'}"
36,anomaly,P,activity_switching,"{'index1': 9, 'index2': 13, 'activity1': 'N', 'activity2': 'U'}"
36,anomaly,U,activity_switching,"{'index1': 9, 'index2': 13, 'activity1': 'N', 'activity2': 'U'}"
36,anomaly,R,activity_switching,"{'index1': 9, 'index2': 13, 'activity1': 'N', 'activity2': 'U'}"
36,anomaly,S,activity_switching,"{'index1': 9, 'index2': 13, 'activity1': 'N', 'activity2': 'U'}"
36,anomaly,T,activity_switching,"{'index1': 9, 'index2': 13, 'activity1': 'N', 'activity2': 'U'}"
36,anomaly,N,activity_switching,"{'index1': 9, 'index2': 13, 'activity1': 'N', 'activity2': 'U'}"
36,anomaly,END,activity_switching,"{'index1': 9, 'index2': 13, 'activity1': 'N', 'activity2': 'U'}"
37,anomaly,START,activity_switching,"{'index1': 7, 'index2': 10, 'activity1': 'N', 'activity2': 'T'}"
37,anomaly,F,activity_switching,"{'index1': 7, 'index2': 10, 'activity1': 'N', 'activity2': 'T'}"
37,anomaly,G,activity_switching,"{'index1': 7, 'index2': 10, 'activity1': 'N', 'activity2': 'T'}"
37,anomaly,M,activity_switching,"{'index1': 7, 'index2': 10, 'activity1': 'N', 'activity2': 'T'}"
37,anomaly,O,activity_switching,"{'index1': 7, 'index2': 10, 'activity1': 'N', 'activity2': 'T'}"
37,anomaly,P,activity_switching,"{'index1': 7, 'index2': 10, 'activity1': 'N', 'activity2': 'T'}"
37,anomaly,Q,activity_switching,"{'index1': 7, 'index2': 10, 'activity1': 'N', 'activity2': 'T'}"
37,anomaly,T,activity_switching,"{'index1': 7, 'index2': 10, 'activity1': 'N', 'activity2': 'T'}"
37,anomaly,R,activity_switching,"{'index1': 7, 'index2': 10, 'activity1': 'N', 'activity2': 'T'}"
37,anomaly,S,activity_switching,"{'index1': 7, 'index2': 10, 'activity1': 'N', 'activity2': 'T'}"
37,anomaly,N,activity_switching,"{'index1': 7, 'index2': 10, 'activity1': 'N', 'activity2': 'T'}"
37,anomaly,U,activity_switching,"{'index1': 7, 'index2': 10, 'activity1': 'N', 'activity2': 'T'}"
37,anomaly,END,activity_switching,"{'index1': 7, 'index2': 10, 'activity1': 'N', 'activity2': 'T'}"
38,anomaly,START,activity_switching,"{'index1': 2, 'index2': 11, 'activity1': 'J', 'activity2': 'T'}"
38,anomaly,F,activity_switching,"{'index1': 2, 'index2': 11, 'activity1': 'J', 'activity2': 'T'}"
38,anomaly,T,activity_switching,"{'index1': 2, 'index2': 11, 'activity1': 'J', 'activity2': 'T'}"
38,anomaly,K,activity_switching,"{'index1': 2, 'index2': 11, 'activity1': 'J', 'activity2': 'T'}"
38,anomaly,M,activity_switching,"{'index1': 2, 'index2': 11, 'activity1': 'J', 'activity2': 'T'}"
38,anomaly,O,activity_switching,"{'index1': 2, 'index2': 11, 'activity1': 'J', 'activity2': 'T'}"
38,anomaly,N,activity_switching,"{'index1': 2, 'index2': 11, 'activity1': 'J', 'activity2': 'T'}"
38,anomaly,P,activity_switching,"{'index1': 2, 'index2': 11, 'activity1': 'J', 'activity2': 'T'}"
38,anomaly,Q,activity_switching,"{'index1': 2, 'index2': 11, 'activity1': 'J', 'activity2': 'T'}"
38,anomaly,R,activity_switching,"{'index1': 2, 'index2': 11, 'activity1': 'J', 'activity2': 'T'}"
38,anomaly,S,activity_switching,"{'index1': 2, 'index2': 11, 'activity1': 'J', 'activity2': 'T'}"
38,anomaly,J,activity_switching,"{'index1': 2, 'index2': 11, 'activity1': 'J', 'activity2': 'T'}"
38,anomaly,U,activity_switching,"{'index1': 2, 'index2': 11, 'activity1': 'J', 'activity2': 'T'}"
38,anomaly,END,activity_switching,"{'index1': 2, 'index2': 11, 'activity1': 'J', 'activity2': 'T'}"
39,anomaly,START,activity_switching,"{'index1': 9, 'index2': 2, 'activity1': 'R', 'activity2': 'J'}"
39,anomaly,F,activity_switching,"{'index1': 9, 'index2': 2, 'activity1': 'R', 'activity2': 'J'}"
39,anomaly,R,activity_switching,"{'index1': 9, 'index2': 2, 'activity1': 'R', 'activity2': 'J'}"
39,anomaly,K,activity_switching,"{'index1': 9, 'index2': 2, 'activity1': 'R', 'activity2': 'J'}"
39,anomaly,M,activity_switching,"{'index1': 9, 'index2': 2, 'activity1': 'R', 'activity2': 'J'}"
39,anomaly,Q,activity_switching,"{'index1': 9, 'index2': 2, 'activity1': 'R', 'activity2': 'J'}"
39,anomaly,N,activity_switching,"{'index1': 9, 'index2': 2, 'activity1': 'R', 'activity2': 'J'}"
39,anomaly,P,activity_switching,"{'index1': 9, 'index2': 2, 'activity1': 'R', 'activity2': 'J'}"
39,anomaly,O,activity_switching,"{'index1': 9, 'index2': 2, 'activity1': 'R', 'activity2': 'J'}"
39,anomaly,J,activity_switching,"{'index1': 9, 'index2': 2, 'activity1': 'R', 'activity2': 'J'}"
39,anomaly,S,activity_switching,"{'index1': 9, 'index2': 2, 'activity1': 'R', 'activity2': 'J'}"
39,anomaly,T,activity_switching,"{'index1': 9, 'index2': 2, 'activity1': 'R', 'activity2': 'J'}"
39,anomaly,U,activity_switching,"{'index1': 9, 'index2': 2, 'activity1': 'R', 'activity2': 'J'}"
39,anomaly,END,activity_switching,"{'index1': 9, 'index2': 2, 'activity1': 'R', 'activity2': 'J'}"
40,normal,START,,
40,normal,F,,
40,normal,G,,
40,normal,H,,
40,normal,I,,
40,normal,M,,
40,normal,O,,
40,normal,N,,
40,normal,Q,,
40,normal,P,,
40,normal,R,,
40,normal,S,,
40,normal,T,,
40,normal,U,,
40,normal,END,,
41,anomaly,START,activity_switching,"{'index1': 9, 'index2': 11, 'activity1': 'R', 'activity2': 'T'}"
