traceid,activity,timestamp
15,T,2021-06-08 11:29:30.000
15,U,2021-06-09 11:43:50.000
15,END,2021-06-09 11:43:50.000
16,START,2021-06-04 09:02:30.000
16,F,2021-06-04 09:05:00.000
16,L,2021-06-04 09:10:10.000
16,M,2021-06-04 09:20:30.000
16,N,2021-06-04 09:20:34.981
16,P,2021-06-04 09:20:35.888
16,O,2021-06-04 09:20:38.492
16,Q,2021-06-04 09:20:40.655
16,R,2021-06-04 09:41:30.000
16,S,2021-06-04 10:22:50.000
16,T,2021-06-04 11:45:20.000
16,U,2021-06-07 06:29:40.000
16,END,2021-06-07 06:29:40.000
17,START,2021-06-04 09:02:40.000
17,F,2021-06-04 09:05:20.000
17,J,2021-06-04 09:10:50.000
17,K,2021-06-04 09:21:50.000
17,M,2021-06-04 09:43:50.000
17,O,2021-06-04 09:43:53.694
17,P,2021-06-04 09:44:00.549
17,Q,2021-06-04 09:44:00.996
17,N,2021-06-04 09:44:02.065
17,R,2021-06-04 10:27:50.000
17,S,2021-06-04 11:55:20.000
17,T,2021-06-07 06:49:40.000
17,U,2021-06-07 12:37:20.000
17,END,2021-06-07 12:37:20.000
18,START,2021-06-04 09:02:50.000
18,F,2021-06-04 09:05:40.000
18,G,2021-06-04 09:11:30.000
18,H,2021-06-04 09:23:10.000
18,I,2021-06-04 09:46:30.000
18,M,2021-06-04 10:32:50.000
18,O,2021-06-04 10:32:51.291
18,P,2021-06-04 10:32:56.692
18,Q,2021-06-04 10:32:57.927
18,N,2021-06-04 10:33:07.295
18,R,2021-06-04 12:05:40.000
18,S,2021-06-07 07:10:10.000
18,T,2021-06-07 13:18:20.000
18,S,2021-06-08 13:34:30.000
18,T,2021-06-09 13:47:20.000
18,U,2021-06-10 13:52:00.000
18,END,2021-06-10 13:52:00.000
19,START,2021-06-04 09:03:00.000
19,F,2021-06-04 09:06:00.000
19,G,2021-06-04 09:12:10.000
19,H,2021-06-04 09:24:30.000
19,I,2021-06-04 09:49:00.000
19,M,2021-06-04 10:37:50.000
19,O,2021-06-04 10:37:55.449
19,P,2021-06-04 10:37:56.382
19,N,2021-06-04 10:38:02.538
19,Q,2021-06-04 10:38:05.990
19,R,2021-06-04 12:15:40.000
19,S,2021-06-07 07:30:10.000
19,T,2021-06-07 13:58:20.000
19,U,2021-06-09 06:14:20.000
19,END,2021-06-09 06:14:20.000
20,START,2021-06-04 09:03:10.000
20,F,2021-06-04 09:06:20.000
20,L,2021-06-04 09:12:50.000
20,M,2021-06-04 09:25:50.000
20,P,2021-06-04 09:25:57.180
20,Q,2021-06-04 09:26:00.143
20,N,2021-06-04 09:26:02.234
20,O,2021-06-04 09:26:06.316
20,R,2021-06-04 09:52:00.000
20,S,2021-06-04 10:43:50.000
20,T,2021-06-04 12:27:20.000
20,U,2021-06-07 07:53:20.000
20,END,2021-06-07 07:53:20.000
21,START,2021-06-04 09:03:20.000
21,F,2021-06-04 09:06:30.000
21,J,2021-06-04 09:13:10.000
21,K,2021-06-04 09:26:30.000
21,M,2021-06-04 09:53:00.000
21,O,2021-06-04 09:53:05.989
21,P,2021-06-04 09:53:07.530
21,Q,2021-06-04 09:53:11.820
21,N,2021-06-04 09:53:15.030
21,R,2021-06-04 10:46:10.000
21,S,2021-06-04 12:32:00.000
21,T,2021-06-07 08:02:40.000
21,U,2021-06-08 07:03:10.000
21,END,2021-06-08 07:03:10.000
22,START,2021-06-04 09:03:30.000
22,F,2021-06-04 09:07:00.000
22,G,2021-06-04 09:14:10.000
22,M,2021-06-04 09:28:30.000
22,O,2021-06-04 09:28:34.886
22,Q,2021-06-04 09:28:38.150
22,P,2021-06-04 09:28:42.111
22,N,2021-06-04 09:28:45.635
22,R,2021-06-04 09:57:20.000
22,S,2021-06-04 10:54:20.000
22,T,2021-06-04 12:48:20.000
22,U,2021-06-07 08:35:10.000
22,END,2021-06-07 08:35:10.000
23,START,2021-06-04 09:03:40.000
23,F,2021-06-04 09:07:20.000
23,J,2021-06-04 09:14:40.000
23,K,2021-06-04 09:29:30.000
23,M,2021-06-04 09:59:00.000
23,N,2021-06-04 09:59:08.152
23,O,2021-06-04 09:59:11.116
23,P,2021-06-04 09:59:11.854
23,Q,2021-06-04 09:59:15.124
23,R,2021-06-04 10:58:00.000
23,S,2021-06-04 12:55:40.000
23,T,2021-06-07 08:49:50.000
23,U,2021-06-08 08:37:20.000
23,END,2021-06-08 08:37:20.000
24,START,2021-06-04 09:03:50.000
24,F,2021-06-04 09:07:40.000
24,L,2021-06-04 09:15:30.000
24,M,2021-06-04 09:31:10.000
24,P,2021-06-04 09:31:21.244
24,O,2021-06-04 09:31:22.012
24,N,2021-06-04 09:31:25.059
24,Q,2021-06-04 09:31:25.290
24,R,2021-06-04 10:02:40.000
24,S,2021-06-04 11:05:00.000
24,T,2021-06-04 13:09:30.000
24,U,2021-06-07 09:17:20.000
24,END,2021-06-07 09:17:20.000
25,START,2021-06-04 09:04:00.000
25,F,2021-06-04 09:08:00.000
25,J,2021-06-04 09:16:10.000
25,K,2021-06-04 09:32:30.000
25,M,2021-06-04 10:05:00.000
25,O,2021-06-04 10:05:10.144
25,P,2021-06-04 10:05:12.478
25,N,2021-06-04 10:05:13.037
25,Q,2021-06-04 10:05:18.390
25,R,2021-06-04 11:10:00.000
25,S,2021-06-04 13:19:30.000
25,T,2021-06-07 09:37:20.000
25,U,2021-06-08 09:54:30.000
25,END,2021-06-08 09:54:30.000
26,START,2021-06-04 09:04:10.000
26,F,2021-06-04 09:08:20.000
26,J,2021-06-04 09:16:40.000
26,K,2021-06-04 09:33:30.000
26,M,2021-06-04 10:07:00.000
26,Q,2021-06-04 10:07:05.645
26,O,2021-06-04 10:07:07.001
26,P,2021-06-04 10:07:11.036
26,N,2021-06-04 10:07:16.181
26,R,2021-06-04 11:14:00.000
26,S,2021-06-04 13:27:30.000
26,T,2021-06-07 09:53:20.000
26,U,2021-06-08 10:10:30.000
26,END,2021-06-08 10:10:30.000
27,START,2021-06-04 09:04:20.000
27,F,2021-06-04 09:08:40.000
27,J,2021-06-04 09:17:30.000
27,K,2021-06-04 09:35:10.000
27,M,2021-06-04 10:10:10.000
27,O,2021-06-04 10:10:15.818
27,N,2021-06-04 10:10:19.712
27,P,2021-06-04 10:10:20.037
27,Q,2021-06-04 10:10:22.963
27,R,2021-06-04 11:20:20.000
27,S,2021-06-04 13:40:00.000
27,T,2021-06-07 10:18:20.000
27,U,2021-06-08 10:35:30.000
27,END,2021-06-08 10:35:30.000
28,START,2021-06-04 09:04:30.000
28,F,2021-06-04 09:09:00.000
28,J,2021-06-04 09:18:10.000
28,K,2021-06-04 09:36:30.000
28,M,2021-06-04 10:12:50.000
28,Q,2021-06-04 10:12:52.423
28,O,2021-06-04 10:12:56.279
28,P,2021-06-04 10:12:59.767
28,N,2021-06-04 10:13:10.655
28,R,2021-06-04 11:26:00.000
28,S,2021-06-04 13:51:20.000
28,T,2021-06-07 10:41:00.000
28,U,2021-06-08 10:58:00.000
28,END,2021-06-08 10:58:00.000
29,START,2021-06-04 09:04:40.000
29,F,2021-06-04 09:09:20.000
29,G,2021-06-04 09:18:40.000
29,M,2021-06-04 09:37:30.000
29,Q,2021-06-04 09:37:36.881
29,N,2021-06-04 09:37:37.976
29,P,2021-06-04 09:37:38.929
29,O,2021-06-04 09:37:43.575
29,R,2021-06-04 10:15:10.000
29,S,2021-06-04 11:30:00.000
29,T,2021-06-04 13:59:20.000
29,U,2021-06-07 10:57:00.000
29,END,2021-06-07 10:57:00.000
30,START,2021-06-04 09:04:50.000
30,F,2021-06-04 09:09:40.000
30,L,2021-06-04 09:19:30.000
30,M,2021-06-04 09:39:10.000
30,Q,2021-06-04 09:39:19.089
30,P,2021-06-04 09:39:22.274
30,N,2021-06-04 09:39:25.643
30,O,2021-06-04 09:39:26.835
30,R,2021-06-04 10:18:30.000
30,S,2021-06-04 11:36:40.000
30,T,2021-06-07 06:12:30.000
30,S,2021-06-07 11:23:20.000
30,T,2021-06-08 11:40:10.000
30,U,2021-06-09 11:54:20.000
30,END,2021-06-09 11:54:20.000
31,START,2021-06-04 09:05:00.000
31,F,2021-06-04 09:10:00.000
31,L,2021-06-04 09:20:00.000
31,M,2021-06-04 09:40:10.000
31,P,2021-06-04 09:40:11.628
31,Q,2021-06-04 09:40:13.807
31,N,2021-06-04 09:40:22.606
31,O,2021-06-04 09:40:23.103
31,R,2021-06-04 10:20:30.000
31,S,2021-06-04 11:40:40.000
31,T,2021-06-07 06:20:30.000
31,U,2021-06-07 11:39:20.000
31,END,2021-06-07 11:39:20.000
32,START,2021-06-04 09:05:10.000
32,F,2021-06-04 09:10:20.000
32,J,2021-06-04 09:20:50.000
32,K,2021-06-04 09:41:50.000
32,M,2021-06-04 10:23:30.000
32,P,2021-06-04 10:23:37.312
32,Q,2021-06-04 10:23:39.578
32,N,2021-06-04 10:23:39.956
32,O,2021-06-04 10:23:46.928
32,R,2021-06-04 11:47:00.000
32,S,2021-06-07 06:33:00.000
32,T,2021-06-07 12:04:10.000
32,U,2021-06-08 12:20:50.000
32,END,2021-06-08 12:20:50.000
33,START,2021-06-04 09:05:20.000
33,F,2021-06-04 09:10:40.000
33,G,2021-06-04 09:21:30.000
33,M,2021-06-04 09:43:10.000
33,P,2021-06-04 09:43:13.850
33,N,2021-06-04 09:43:16.619
33,O,2021-06-04 09:43:20.028
33,Q,2021-06-04 09:43:23.671
33,R,2021-06-04 10:26:30.000
33,S,2021-06-04 11:52:40.000
33,T,2021-06-07 06:44:20.000
33,U,2021-06-07 12:26:40.000
33,END,2021-06-07 12:26:40.000
34,START,2021-06-04 09:05:30.000
34,F,2021-06-04 09:11:00.000
34,L,2021-06-04 09:22:10.000
34,M,2021-06-04 09:44:30.000
34,Q,2021-06-04 09:44:30.763
34,O,2021-06-04 09:44:38.584
34,N,2021-06-04 09:44:40.281
34,P,2021-06-04 09:44:42.046
34,R,2021-06-04 10:29:10.000
34,S,2021-06-04 11:58:00.000
34,T,2021-06-07 06:55:00.000
34,U,2021-06-07 12:48:00.000
34,END,2021-06-07 12:48:00.000
35,START,2021-06-04 09:05:40.000
35,F,2021-06-04 09:11:20.000
35,G,2021-06-04 09:22:40.000
35,H,2021-06-04 09:45:30.000
35,I,2021-06-04 10:30:50.000
35,M,2021-06-04 12:01:20.000
35,O,2021-06-04 12:01:22.455
35,Q,2021-06-04 12:01:26.171
35,P,2021-06-04 12:01:28.212
35,N,2021-06-04 12:01:28.585
35,R,2021-06-07 07:01:40.000
35,S,2021-06-07 13:01:20.000
35,T,2021-06-08 13:17:30.000
35,S,2021-06-09 13:30:20.000
35,T,2021-06-10 13:35:20.000
35,U,2021-06-11 13:24:20.000
35,END,2021-06-11 13:24:20.000
36,START,2021-06-04 09:05:50.000
36,F,2021-06-04 09:11:40.000
36,G,2021-06-04 09:23:30.000
36,H,2021-06-04 09:47:10.000
36,I,2021-06-04 10:34:10.000
36,M,2021-06-04 12:08:00.000
36,O,2021-06-04 12:08:09.092
36,Q,2021-06-04 12:08:09.337
36,P,2021-06-04 12:08:11.480
36,N,2021-06-04 12:08:14.673
36,R,2021-06-07 07:15:10.000
36,S,2021-06-07 13:28:20.000
36,T,2021-06-08 13:44:30.000
36,U,2021-06-09 13:57:10.000
36,END,2021-06-09 13:57:10.000
37,START,2021-06-04 09:06:00.000
37,F,2021-06-04 09:12:00.000
37,G,2021-06-04 09:24:10.000
37,M,2021-06-04 09:48:20.000
37,O,2021-06-04 09:48:30.203
37,P,2021-06-04 09:48:31.277
37,Q,2021-06-04 09:48:34.589
37,N,2021-06-04 09:48:37.831
37,R,2021-06-04 10:36:50.000
37,S,2021-06-04 12:13:20.000
37,T,2021-06-07 07:25:30.000
37,U,2021-06-07 13:49:00.000
37,END,2021-06-07 13:49:00.000
38,START,2021-06-04 09:06:10.000
38,F,2021-06-04 09:12:20.000
38,J,2021-06-04 09:24:50.000
38,K,2021-06-04 09:49:40.000
38,M,2021-06-04 10:39:10.000
38,O,2021-06-04 10:39:17.603
38,N,2021-06-04 10:39:19.609
38,P,2021-06-04 10:39:19.947
38,Q,2021-06-04 10:39:20.084
38,R,2021-06-04 12:18:20.000
38,S,2021-06-07 07:35:30.000
38,T,2021-06-08 06:09:00.000
38,U,2021-06-09 06:25:00.000
38,END,2021-06-09 06:25:00.000
39,START,2021-06-04 09:06:20.000
39,F,2021-06-04 09:12:40.000
39,J,2021-06-04 09:25:20.000
39,K,2021-06-04 09:50:40.000
39,M,2021-06-04 10:41:10.000
39,Q,2021-06-04 10:41:13.248
39,N,2021-06-04 10:41:21.689
39,P,2021-06-04 10:41:21.893
39,O,2021-06-04 10:41:24.067
39,R,2021-06-04 12:22:20.000
39,S,2021-06-07 07:43:30.000
39,T,2021-06-08 06:25:00.000
39,U,2021-06-09 06:41:00.000
39,END,2021-06-09 06:41:00.000
40,START,2021-06-04 09:06:30.000
40,F,2021-06-04 09:13:00.000
40,G,2021-06-04 09:26:10.000
40,H,2021-06-04 09:52:20.000
40,I,2021-06-04 10:44:30.000
40,M,2021-06-04 12:28:40.000
40,O,2021-06-04 12:28:47.277
40,N,2021-06-04 12:28:52.358
40,Q,2021-06-04 12:28:52.881
40,P,2021-06-04 12:28:53.720
40,R,2021-06-07 07:56:20.000
40,S,2021-06-08 06:50:30.000
40,T,2021-06-09 07:06:30.000
40,U,2021-06-10 07:18:00.000
40,END,2021-06-10 07:18:00.000
41,START,2021-06-04 09:06:40.000
41,F,2021-06-04 09:13:20.000
41,J,2021-06-04 09:26:50.000
41,K,2021-06-04 09:53:40.000
41,M,2021-06-04 10:47:10.000
41,N,2021-06-04 10:47:19.810
41,P,2021-06-04 10:47:21.990
41,Q,2021-06-04 10:47:22.539
41,O,2021-06-04 10:47:26.858
41,R,2021-06-04 12:34:20.000
41,S,2021-06-07 08:07:20.000
41,T,2021-06-08 07:12:30.000
41,U,2021-06-09 07:28:20.000
41,END,2021-06-09 07:28:20.000
42,START,2021-06-04 09:06:50.000
42,F,2021-06-04 09:13:40.000
42,J,2021-06-04 09:27:20.000
42,K,2021-06-04 09:54:40.000
42,M,2021-06-04 10:49:10.000
42,O,2021-06-04 10:49:13.544
42,P,2021-06-04 10:49:15.953
42,Q,2021-06-04 10:49:20.044
42,N,2021-06-04 10:49:20.677
42,R,2021-06-04 12:38:20.000
42,S,2021-06-07 08:15:20.000
42,T,2021-06-08 07:28:30.000
42,U,2021-06-09 07:44:20.000
42,END,2021-06-09 07:44:20.000
43,START,2021-06-04 09:07:00.000
43,F,2021-06-04 09:14:00.000
43,L,2021-06-04 09:28:10.000
43,M,2021-06-04 09:56:20.000
43,Q,2021-06-04 09:56:23.738
43,P,2021-06-04 09:56:28.040
43,N,2021-06-04 09:56:29.729
43,O,2021-06-04 09:56:29.916
43,R,2021-06-04 10:52:20.000
43,S,2021-06-04 12:44:20.000
43,T,2021-06-07 08:27:10.000
43,U,2021-06-08 07:52:10.000
43,END,2021-06-08 07:52:10.000
44,START,2021-06-04 09:07:10.000
44,F,2021-06-04 09:14:20.000
44,J,2021-06-04 09:28:50.000
44,K,2021-06-04 09:57:40.000
44,M,2021-06-04 10:55:00.000
44,N,2021-06-04 10:55:02.651
44,O,2021-06-04 10:55:10.468
44,P,2021-06-04 10:55:12.980
44,Q,2021-06-04 10:55:13.981
44,R,2021-06-04 12:50:00.000
44,S,2021-06-07 08:38:30.000
44,T,2021-06-08 08:14:40.000
44,U,2021-06-09 08:30:20.000
44,END,2021-06-09 08:30:20.000
45,START,2021-06-04 09:07:20.000
45,F,2021-06-04 09:14:30.000
45,J,2021-06-04 09:29:10.000
45,K,2021-06-04 09:58:20.000
45,M,2021-06-04 10:56:20.000
45,N,2021-06-04 10:56:20.070
45,O,2021-06-04 10:56:24.289
45,Q,2021-06-04 10:56:28.515
45,P,2021-06-04 10:56:31.017
45,R,2021-06-04 12:52:40.000
45,S,2021-06-07 08:43:50.000
45,T,2021-06-08 08:25:20.000
45,U,2021-06-09 08:41:00.000
45,END,2021-06-09 08:41:00.000
46,START,2021-06-04 09:07:30.000
46,F,2021-06-04 09:15:00.000
46,J,2021-06-04 09:30:10.000
46,K,2021-06-04 10:00:20.000
46,M,2021-06-04 11:00:20.000
46,N,2021-06-04 11:00:24.932
46,Q,2021-06-04 11:00:28.291
46,P,2021-06-04 11:00:31.165
46,O,2021-06-04 11:00:32.329
46,R,2021-06-04 13:00:30.000
46,S,2021-06-07 08:59:30.000
46,T,2021-06-08 08:56:40.000
46,U,2021-06-09 09:12:10.000
46,END,2021-06-09 09:12:10.000
47,START,2021-06-04 09:07:40.000
47,F,2021-06-04 09:15:20.000
47,J,2021-06-04 09:30:50.000
47,K,2021-06-04 10:01:40.000
47,M,2021-06-04 11:03:00.000
47,Q,2021-06-04 11:03:06.378
47,P,2021-06-04 11:03:11.438
47,O,2021-06-04 11:03:11.838
47,N,2021-06-04 11:03:13.062
47,R,2021-06-04 13:05:50.000
47,S,2021-06-07 09:10:00.000
47,T,2021-06-08 09:17:40.000
47,U,2021-06-09 09:33:10.000
47,END,2021-06-09 09:33:10.000
48,START,2021-06-04 09:07:50.000
48,F,2021-06-04 09:15:40.000
48,G,2021-06-04 09:31:30.000
48,H,2021-06-04 10:03:00.000
48,I,2021-06-04 11:05:40.000
48,M,2021-06-04 13:10:50.000
48,O,2021-06-04 13:10:51.012
48,N,2021-06-04 13:10:51.398
48,Q,2021-06-04 13:11:03.816
48,P,2021-06-04 13:11:04.408
48,R,2021-06-07 09:20:20.000
48,S,2021-06-08 09:37:40.000
48,T,2021-06-09 09:53:10.000
48,U,2021-06-10 10:02:50.000
48,END,2021-06-10 10:02:50.000
49,START,2021-06-04 09:08:00.000
49,F,2021-06-04 09:16:00.000
49,L,2021-06-04 09:32:10.000
49,M,2021-06-04 10:04:20.000
49,N,2021-06-04 10:04:29.073
49,P,2021-06-04 10:04:30.053
49,Q,2021-06-04 10:04:32.478
49,O,2021-06-04 10:04:34.936
49,R,2021-06-04 11:08:40.000
49,S,2021-06-04 13:16:50.000
49,T,2021-06-07 09:32:00.000
49,U,2021-06-08 09:49:10.000
49,END,2021-06-08 09:49:10.000
50,START,2021-06-04 09:08:10.000
50,F,2021-06-04 09:16:20.000
50,J,2021-06-04 09:32:50.000
50,K,2021-06-04 10:05:40.000
50,M,2021-06-04 11:11:00.000
50,N,2021-06-04 11:11:07.931
50,O,2021-06-04 11:11:12.422
50,Q,2021-06-04 11:11:14.267
50,P,2021-06-04 11:11:15.004
50,R,2021-06-04 13:21:50.000
50,S,2021-06-07 09:42:00.000
50,T,2021-06-08 09:59:10.000
50,U,2021-06-09 10:14:20.000
50,END,2021-06-09 10:14:20.000
51,START,2021-06-04 09:08:20.000
51,F,2021-06-04 09:16:30.000
51,G,2021-06-04 09:33:10.000
51,M,2021-06-04 10:06:20.000
51,P,2021-06-04 10:06:25.956
51,Q,2021-06-04 10:06:26.186
51,N,2021-06-04 10:06:29.832
51,O,2021-06-04 10:06:29.940
51,R,2021-06-04 11:12:20.000
51,S,2021-06-04 13:24:10.000
51,T,2021-06-07 09:46:40.000
51,U,2021-06-08 10:03:50.000
51,END,2021-06-08 10:03:50.000
52,START,2021-06-04 09:08:30.000
52,F,2021-06-04 09:17:00.000
52,J,2021-06-04 09:34:10.000
52,K,2021-06-04 10:08:20.000
52,M,2021-06-04 11:16:20.000
52,O,2021-06-04 11:16:22.132
52,P,2021-06-04 11:16:27.875
52,N,2021-06-04 11:16:30.970
52,Q,2021-06-04 11:16:31.740
52,R,2021-06-04 13:32:20.000
52,S,2021-06-07 10:03:00.000
52,T,2021-06-08 10:20:10.000
52,U,2021-06-09 10:35:00.000
52,END,2021-06-09 10:35:00.000
53,START,2021-06-04 09:08:40.000
53,F,2021-06-04 09:17:20.000
53,G,2021-06-04 09:34:50.000
53,H,2021-06-04 10:09:30.000
53,I,2021-06-04 11:18:40.000
53,M,2021-06-04 13:36:40.000
53,P,2021-06-04 13:36:45.578
53,O,2021-06-04 13:36:48.818
53,Q,2021-06-04 13:36:52.144
53,N,2021-06-04 13:36:53.486
53,R,2021-06-07 10:12:00.000
53,S,2021-06-08 10:29:10.000
